fine_platform,fine_table,fine_record_id,fine_account,fine_source_file,fine_time_start,fine_time_end,fine_time_granularity,fine_date,record_type,title,series_title,season_number,episode_number,episode_title,movie_title,title_missing
prime_video,prime_video_watch_history_public,prime_video_000001,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,18,Bring 'em Back Alive,,false
prime_video,prime_video_watch_history_public,prime_video_000002,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,17,The Thing,,false
prime_video,prime_video_watch_history_public,prime_video_000003,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,16,Scoobynatural,,false
prime_video,prime_video_watch_history_public,prime_video_000004,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,15,A Most Holy Man,,false
prime_video,prime_video_watch_history_public,prime_video_000005,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,14,Good Intentions,,false
prime_video,prime_video_watch_history_public,prime_video_000006,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,13,Devil's Bargain,,false
prime_video,prime_video_watch_history_public,prime_video_000007,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,12,Various & Sundry Villains,,false
prime_video,prime_video_watch_history_public,prime_video_000008,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,11,Breakdown,,false
prime_video,prime_video_watch_history_public,prime_video_000009,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,10,Wayward Sisters,,false
prime_video,prime_video_watch_history_public,prime_video_000010,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,9,The Bad Place,,false
prime_video,prime_video_watch_history_public,prime_video_000011,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,8,The Scorpion and the Frog,,false
prime_video,prime_video_watch_history_public,prime_video_000012,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,7,War of the Worlds,,false
prime_video,prime_video_watch_history_public,prime_video_000013,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,6,Tombstone,,false
prime_video,prime_video_watch_history_public,prime_video_000014,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,5,Advanced Thanatology,,false
prime_video,prime_video_watch_history_public,prime_video_000015,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,4,The Big Empty,,false
prime_video,prime_video_watch_history_public,prime_video_000016,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,3,Patience,,false
prime_video,prime_video_watch_history_public,prime_video_000017,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,2,The Rising Son,,false
prime_video,prime_video_watch_history_public,prime_video_000018,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,1,Lost,,false
prime_video,prime_video_watch_history_public,prime_video_000019,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,23,ALL ALONG THE WATCHTOWER,,false
prime_video,prime_video_watch_history_public,prime_video_000020,,source_000001,2026-03-19,2026-03-19,date,2026-03-19,episode,Supernatural,Supernatural,13,22,WHO WE ARE,,false
prime_video,prime_video_watch_history_public,prime_video_000021,,source_000001,2026-03-17,2026-03-17,date,2026-03-17,episode,TWINE & TASHA BANES Supernatural,TWINE & TASHA BANES Supernatural,12,21,THERE'S SOMETHING ABOUT MARY,,false
prime_video,prime_video_watch_history_public,prime_video_000022,,source_000001,2026-03-17,2026-03-17,date,2026-03-17,episode,TWINE & TASHA BANES Supernatural,TWINE & TASHA BANES Supernatural,12,20,TWIGS &,,false
prime_video,prime_video_watch_history_public,prime_video_000023,,source_000001,2026-03-16,2026-03-16,date,2026-03-16,episode,BETWEEN HEAVEN AND HELL Supernatural,BETWEEN HEAVEN AND HELL Supernatural,12,19,THE FUTURE,,false
prime_video,prime_video_watch_history_public,prime_video_000024,,source_000001,2026-03-16,2026-03-16,date,2026-03-16,episode,BETWEEN HEAVEN AND HELL Supernatural,BETWEEN HEAVEN AND HELL Supernatural,12,18,THE MEMORY REMAINS,,false
prime_video,prime_video_watch_history_public,prime_video_000025,,source_000001,2026-03-16,2026-03-16,date,2026-03-16,episode,BETWEEN HEAVEN AND HELL Supernatural,BETWEEN HEAVEN AND HELL Supernatural,12,17,THE BRITISH INVASION,,false
prime_video,prime_video_watch_history_public,prime_video_000026,,source_000001,2026-03-16,2026-03-16,date,2026-03-16,episode,BETWEEN HEAVEN AND HELL Supernatural,BETWEEN HEAVEN AND HELL Supernatural,12,16,LADIES DRINK FREE,,false
prime_video,prime_video_watch_history_public,prime_video_000027,,source_000001,2026-03-16,2026-03-16,date,2026-03-16,episode,BETWEEN HEAVEN AND HELL Supernatural,BETWEEN HEAVEN AND HELL Supernatural,12,15,SOMEWHERE,,false
prime_video,prime_video_watch_history_public,prime_video_000028,,source_000001,2026-03-16,2026-03-16,date,2026-03-16,episode,BETWEEN HEAVEN AND HELL Supernatural,BETWEEN HEAVEN AND HELL Supernatural,12,14,THE RAID,,false
prime_video,prime_video_watch_history_public,prime_video_000029,,source_000001,2026-03-16,2026-03-16,date,2026-03-16,episode,Supernatural,Supernatural,12,13,FAMILY FEUD,,false
prime_video,prime_video_watch_history_public,prime_video_000030,,source_000001,2026-03-16,2026-03-16,date,2026-03-16,episode,Supernatural,Supernatural,12,12,Stuck In The Middle (With You),,false
prime_video,prime_video_watch_history_public,prime_video_000031,,source_000001,2026-03-16,2026-03-16,date,2026-03-16,episode,Supernatural,Supernatural,12,11,Regarding Dean,,false
prime_video,prime_video_watch_history_public,prime_video_000032,,source_000001,2026-03-16,2026-03-16,date,2026-03-16,episode,Supernatural,Supernatural,12,10,Lily Sunder Has Some Regrets,,false
prime_video,prime_video_watch_history_public,prime_video_000033,,source_000001,2026-03-16,2026-03-16,date,2026-03-16,episode,Supernatural,Supernatural,12,9,First Blood,,false
prime_video,prime_video_watch_history_public,prime_video_000034,,source_000001,2026-03-16,2026-03-16,date,2026-03-16,episode,Supernatural,Supernatural,12,8,Lotus,,false
prime_video,prime_video_watch_history_public,prime_video_000035,,source_000001,2026-03-15,2026-03-15,date,2026-03-15,episode,Supernatural,Supernatural,12,7,Rock Never Dies,,false
prime_video,prime_video_watch_history_public,prime_video_000036,,source_000001,2026-03-15,2026-03-15,date,2026-03-15,episode,Supernatural,Supernatural,12,6,Celebrating The Life of Asa Fox,,false
prime_video,prime_video_watch_history_public,prime_video_000037,,source_000001,2026-03-15,2026-03-15,date,2026-03-15,episode,Supernatural,Supernatural,12,5,The One You've Been Waiting For,,false
prime_video,prime_video_watch_history_public,prime_video_000038,,source_000001,2026-03-15,2026-03-15,date,2026-03-15,episode,Supernatural,Supernatural,12,4,American Nightmare,,false
prime_video,prime_video_watch_history_public,prime_video_000039,,source_000001,2026-03-15,2026-03-15,date,2026-03-15,episode,Supernatural,Supernatural,12,3,The Foundry,,false
prime_video,prime_video_watch_history_public,prime_video_000040,,source_000001,2026-03-15,2026-03-15,date,2026-03-15,episode,Supernatural,Supernatural,12,2,Mamma Mia,,false
prime_video,prime_video_watch_history_public,prime_video_000041,,source_000001,2026-03-15,2026-03-15,date,2026-03-15,episode,Supernatural,Supernatural,12,1,Keep,,false
prime_video,prime_video_watch_history_public,prime_video_000042,,source_000001,2026-03-15,2026-03-15,date,2026-03-15,episode,Supernatural,Supernatural,12,23,Alpha and Omega,,false
prime_video,prime_video_watch_history_public,prime_video_000043,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,22,We Happy Few,,false
prime_video,prime_video_watch_history_public,prime_video_000044,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,21,All in the Family,,false
prime_video,prime_video_watch_history_public,prime_video_000045,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,20,Don't Call Me Shurley,,false
prime_video,prime_video_watch_history_public,prime_video_000046,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,19,The Chitters,,false
prime_video,prime_video_watch_history_public,prime_video_000047,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,18,Hell's Angel,,false
prime_video,prime_video_watch_history_public,prime_video_000048,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,17,Red Meat,,false
prime_video,prime_video_watch_history_public,prime_video_000049,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,16,Safe House,,false
prime_video,prime_video_watch_history_public,prime_video_000050,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,15,Beyond the Mat,,false
prime_video,prime_video_watch_history_public,prime_video_000051,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,14,The Vessel,,false
prime_video,prime_video_watch_history_public,prime_video_000052,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,13,Love Hurts,,false
prime_video,prime_video_watch_history_public,prime_video_000053,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,12,Don't You Forget About Me,,false
prime_video,prime_video_watch_history_public,prime_video_000054,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,11,Into the Mystic,,false
prime_video,prime_video_watch_history_public,prime_video_000055,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,10,The Devil in the Details,,false
prime_video,prime_video_watch_history_public,prime_video_000056,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,9,O Brother Where Art Thou?,,false
prime_video,prime_video_watch_history_public,prime_video_000057,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,8,Just My Imagination,,false
prime_video,prime_video_watch_history_public,prime_video_000058,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,7,Plush,,false
prime_video,prime_video_watch_history_public,prime_video_000059,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,6,Our Little World,,false
prime_video,prime_video_watch_history_public,prime_video_000060,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,5,Thin Lizzie,,false
prime_video,prime_video_watch_history_public,prime_video_000061,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,4,Baby,,false
prime_video,prime_video_watch_history_public,prime_video_000062,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,3,The Bad Seed,,false
prime_video,prime_video_watch_history_public,prime_video_000063,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,2,Form and Void,,false
prime_video,prime_video_watch_history_public,prime_video_000064,,source_000001,2026-03-14,2026-03-14,date,2026-03-14,episode,Supernatural,Supernatural,11,1,"Out of the Darkness, Into the Fire",,false
prime_video,prime_video_watch_history_public,prime_video_000065,,source_000001,2026-03-12,2026-03-12,date,2026-03-12,episode,Supernatural,Supernatural,10,23,Brother's Keeper,,false
prime_video,prime_video_watch_history_public,prime_video_000066,,source_000001,2026-03-12,2026-03-12,date,2026-03-12,episode,Supernatural,Supernatural,10,22,The Prisoner,,false
prime_video,prime_video_watch_history_public,prime_video_000067,,source_000001,2026-03-12,2026-03-12,date,2026-03-12,episode,Supernatural,Supernatural,10,21,Dark Dynasty,,false
prime_video,prime_video_watch_history_public,prime_video_000068,,source_000001,2026-03-12,2026-03-12,date,2026-03-12,episode,Supernatural,Supernatural,10,20,Angel Heart,,false
prime_video,prime_video_watch_history_public,prime_video_000069,,source_000001,2026-03-12,2026-03-12,date,2026-03-12,episode,Supernatural,Supernatural,10,19,The Werther Project,,false
prime_video,prime_video_watch_history_public,prime_video_000070,,source_000001,2026-03-12,2026-03-12,date,2026-03-12,episode,Supernatural,Supernatural,10,18,Book of the Damned,,false
prime_video,prime_video_watch_history_public,prime_video_000071,,source_000001,2026-03-12,2026-03-12,date,2026-03-12,episode,Supernatural,Supernatural,10,15,The Things They Carried,,false
prime_video,prime_video_watch_history_public,prime_video_000072,,source_000001,2026-03-12,2026-03-12,date,2026-03-12,episode,Supernatural,Supernatural,10,17,Inside Man,,false
prime_video,prime_video_watch_history_public,prime_video_000073,,source_000001,2026-03-12,2026-03-12,date,2026-03-12,episode,Supernatural,Supernatural,10,16,Paint it Black,,false
prime_video,prime_video_watch_history_public,prime_video_000074,,source_000001,2026-03-08,2026-03-08,date,2026-03-08,episode,Supernatural,Supernatural,10,14,The Executioner's Song,,false
prime_video,prime_video_watch_history_public,prime_video_000075,,source_000001,2026-03-08,2026-03-08,date,2026-03-08,episode,Supernatural,Supernatural,10,13,Halt & Catch Fire,,false
prime_video,prime_video_watch_history_public,prime_video_000076,,source_000001,2026-03-08,2026-03-08,date,2026-03-08,episode,Supernatural,Supernatural,10,12,About a Boy,,false
prime_video,prime_video_watch_history_public,prime_video_000077,,source_000001,2026-03-08,2026-03-08,date,2026-03-08,episode,Supernatural,Supernatural,10,11,There's No Place Like Home,,false
prime_video,prime_video_watch_history_public,prime_video_000078,,source_000001,2026-03-08,2026-03-08,date,2026-03-08,episode,Supernatural,Supernatural,10,10,The Hunter Games,,false
prime_video,prime_video_watch_history_public,prime_video_000079,,source_000001,2026-03-08,2026-03-08,date,2026-03-08,episode,Supernatural,Supernatural,10,9,The Things We Left Behind,,false
prime_video,prime_video_watch_history_public,prime_video_000080,,source_000001,2026-03-08,2026-03-08,date,2026-03-08,episode,Supernatural,Supernatural,10,8,Hibbing 911,,false
prime_video,prime_video_watch_history_public,prime_video_000081,,source_000001,2026-03-08,2026-03-08,date,2026-03-08,episode,Supernatural,Supernatural,10,7,"Girls, Girls, Girls",,false
prime_video,prime_video_watch_history_public,prime_video_000082,,source_000001,2026-03-08,2026-03-08,date,2026-03-08,episode,Supernatural,Supernatural,10,6,Ask Jeeves,,false
prime_video,prime_video_watch_history_public,prime_video_000083,,source_000001,2026-03-08,2026-03-08,date,2026-03-08,episode,Supernatural,Supernatural,10,4,Paper Moon,,false
prime_video,prime_video_watch_history_public,prime_video_000084,,source_000001,2026-03-08,2026-03-08,date,2026-03-08,episode,Supernatural,Supernatural,10,5,Fan Fiction,,false
prime_video,prime_video_watch_history_public,prime_video_000085,,source_000001,2026-03-07,2026-03-07,date,2026-03-07,episode,Supernatural,Supernatural,10,3,Soul Survivor,,false
prime_video,prime_video_watch_history_public,prime_video_000086,,source_000001,2026-03-07,2026-03-07,date,2026-03-07,episode,Supernatural,Supernatural,10,2,Reichenbach,,false
prime_video,prime_video_watch_history_public,prime_video_000087,,source_000001,2026-03-07,2026-03-07,date,2026-03-07,episode,Supernatural,Supernatural,10,1,Black,,false
prime_video,prime_video_watch_history_public,prime_video_000088,,source_000001,2026-03-07,2026-03-07,date,2026-03-07,episode,Supernatural,Supernatural,10,23,Do You Believe in Miracles,,false
prime_video,prime_video_watch_history_public,prime_video_000089,,source_000001,2026-03-07,2026-03-07,date,2026-03-07,episode,Supernatural,Supernatural,10,22,Stairway to Heaven,,false
prime_video,prime_video_watch_history_public,prime_video_000090,,source_000001,2026-03-07,2026-03-07,date,2026-03-07,episode,Supernatural,Supernatural,10,21,King of the Damned,,false
prime_video,prime_video_watch_history_public,prime_video_000091,,source_000001,2026-03-07,2026-03-07,date,2026-03-07,episode,Supernatural,Supernatural,10,20,Bloodlines,,false
prime_video,prime_video_watch_history_public,prime_video_000092,,source_000001,2026-03-07,2026-03-07,date,2026-03-07,episode,Supernatural,Supernatural,10,19,Alex Annie Alexis Ann,,false
prime_video,prime_video_watch_history_public,prime_video_000093,,source_000001,2026-03-07,2026-03-07,date,2026-03-07,episode,Supernatural,Supernatural,10,18,Meta Fiction,,false
prime_video,prime_video_watch_history_public,prime_video_000094,,source_000001,2026-03-07,2026-03-07,date,2026-03-07,episode,Supernatural,Supernatural,10,17,Mother's Little Helper,,false
prime_video,prime_video_watch_history_public,prime_video_000095,,source_000001,2026-03-06,2026-03-06,date,2026-03-06,episode,Supernatural,Supernatural,9,16,Blade Runners,,false
prime_video,prime_video_watch_history_public,prime_video_000096,,source_000001,2026-03-06,2026-03-06,date,2026-03-06,episode,Supernatural,Supernatural,9,15,#THINMAN,,false
prime_video,prime_video_watch_history_public,prime_video_000097,,source_000001,2026-03-06,2026-03-06,date,2026-03-06,episode,Supernatural,Supernatural,9,14,Captives,,false
prime_video,prime_video_watch_history_public,prime_video_000098,,source_000001,2026-03-06,2026-03-06,date,2026-03-06,episode,Supernatural,Supernatural,9,13,The Purge,,false
prime_video,prime_video_watch_history_public,prime_video_000099,,source_000001,2026-03-06,2026-03-06,date,2026-03-06,episode,Supernatural,Supernatural,9,12,Sharp Teeth,,false
prime_video,prime_video_watch_history_public,prime_video_000100,,source_000001,2026-03-06,2026-03-06,date,2026-03-06,episode,Supernatural,Supernatural,9,11,First Born,,false
prime_video,prime_video_watch_history_public,prime_video_000101,,source_000001,2026-03-06,2026-03-06,date,2026-03-06,episode,Supernatural,Supernatural,9,10,Road Trip,,false
prime_video,prime_video_watch_history_public,prime_video_000102,,source_000001,2026-03-06,2026-03-06,date,2026-03-06,episode,Supernatural,Supernatural,9,9,Holy Terror,,false
prime_video,prime_video_watch_history_public,prime_video_000103,,source_000001,2026-03-06,2026-03-06,date,2026-03-06,episode,Supernatural,Supernatural,9,8,Rock and a Hard Place,,false
prime_video,prime_video_watch_history_public,prime_video_000104,,source_000001,2026-03-06,2026-03-06,date,2026-03-06,episode,Supernatural,Supernatural,9,7,Bad Boys,,false
prime_video,prime_video_watch_history_public,prime_video_000105,,source_000001,2026-03-06,2026-03-06,date,2026-03-06,episode,Supernatural,Supernatural,9,6,Heaven Can't Wait,,false
prime_video,prime_video_watch_history_public,prime_video_000106,,source_000001,2026-03-06,2026-03-06,date,2026-03-06,episode,Supernatural,Supernatural,9,5,Dog Dean Afternoon,,false
prime_video,prime_video_watch_history_public,prime_video_000107,,source_000001,2026-03-05,2026-03-05,date,2026-03-05,episode,Supernatural,Supernatural,9,4,Slumber Party,,false
prime_video,prime_video_watch_history_public,prime_video_000108,,source_000001,2026-03-05,2026-03-05,date,2026-03-05,episode,Supernatural,Supernatural,9,3,I'm No Angel,,false
prime_video,prime_video_watch_history_public,prime_video_000109,,source_000001,2026-03-05,2026-03-05,date,2026-03-05,episode,Supernatural,Supernatural,9,2,Devil May Care,,false
prime_video,prime_video_watch_history_public,prime_video_000110,,source_000001,2026-03-05,2026-03-05,date,2026-03-05,episode,Supernatural,Supernatural,9,1,I,,false
prime_video,prime_video_watch_history_public,prime_video_000111,,source_000001,2026-03-05,2026-03-05,date,2026-03-05,episode,Supernatural,Supernatural,9,23,Sacrifice,,false
prime_video,prime_video_watch_history_public,prime_video_000112,,source_000001,2026-03-05,2026-03-05,date,2026-03-05,episode,Supernatural,Supernatural,9,22,Clip Show,,false
prime_video,prime_video_watch_history_public,prime_video_000113,,source_000001,2026-03-05,2026-03-05,date,2026-03-05,episode,Supernatural,Supernatural,9,21,The Great Escapist,,false
prime_video,prime_video_watch_history_public,prime_video_000114,,source_000001,2026-03-05,2026-03-05,date,2026-03-05,episode,Supernatural,Supernatural,9,20,Pac-Man Fever,,false
prime_video,prime_video_watch_history_public,prime_video_000115,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,9,19,Taxi Driver,,false
prime_video,prime_video_watch_history_public,prime_video_000116,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,9,18,Freaks and Geeks,,false
prime_video,prime_video_watch_history_public,prime_video_000117,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,9,17,Goodbye Stranger,,false
prime_video,prime_video_watch_history_public,prime_video_000118,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,9,16,Remember the Titans,,false
prime_video,prime_video_watch_history_public,prime_video_000119,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,9,15,Man's,,false
prime_video,prime_video_watch_history_public,prime_video_000120,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,9,14,Trial and Error,,false
prime_video,prime_video_watch_history_public,prime_video_000121,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,9,13,Everybody Hates Hitler,,false
prime_video,prime_video_watch_history_public,prime_video_000122,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,9,12,As Time Goes By,,false
prime_video,prime_video_watch_history_public,prime_video_000123,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,9,11,LARP and The Real Girl,,false
prime_video,prime_video_watch_history_public,prime_video_000124,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,9,10,Torn and Frayed,,false
prime_video,prime_video_watch_history_public,prime_video_000125,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,9,9,Citizen Fang,,false
prime_video,prime_video_watch_history_public,prime_video_000126,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,9,8,Hunteri Heroici,,false
prime_video,prime_video_watch_history_public,prime_video_000127,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,9,7,A Little Slice of Kevin,,false
prime_video,prime_video_watch_history_public,prime_video_000128,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,8,6,Southern Comfort,,false
prime_video,prime_video_watch_history_public,prime_video_000129,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,8,5,Blood Brother,,false
prime_video,prime_video_watch_history_public,prime_video_000130,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,8,4,Bitten,,false
prime_video,prime_video_watch_history_public,prime_video_000131,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,8,3,Heartache,,false
prime_video,prime_video_watch_history_public,prime_video_000132,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,8,2,"What's Up, Tiger Mommy?",,false
prime_video,prime_video_watch_history_public,prime_video_000133,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,8,1,We,,false
prime_video,prime_video_watch_history_public,prime_video_000134,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,8,23,Survival of The Fittest,,false
prime_video,prime_video_watch_history_public,prime_video_000135,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,8,22,There Will Be Blood,,false
prime_video,prime_video_watch_history_public,prime_video_000136,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,8,21,Reading is Fundamental,,false
prime_video,prime_video_watch_history_public,prime_video_000137,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,8,20,The Girl with the Dungeons and Dragons Tattoo,,false
prime_video,prime_video_watch_history_public,prime_video_000138,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,8,19,Of Grave Importance,,false
prime_video,prime_video_watch_history_public,prime_video_000139,,source_000001,2026-03-03,2026-03-03,date,2026-03-03,episode,Supernatural,Supernatural,8,18,"Party On, Garth",,false
prime_video,prime_video_watch_history_public,prime_video_000140,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,17,The Born-Again Identity,,false
prime_video,prime_video_watch_history_public,prime_video_000141,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,16,Out With the Old,,false
prime_video,prime_video_watch_history_public,prime_video_000142,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,15,Repo Man,,false
prime_video,prime_video_watch_history_public,prime_video_000143,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,14,Plucky,,false
prime_video,prime_video_watch_history_public,prime_video_000144,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,13,The Slice Girls,,false
prime_video,prime_video_watch_history_public,prime_video_000145,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,12,Time after Time after Time,,false
prime_video,prime_video_watch_history_public,prime_video_000146,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,11,Adventures In Babysitting,,false
prime_video,prime_video_watch_history_public,prime_video_000147,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,10,Death's Door,,false
prime_video,prime_video_watch_history_public,prime_video_000148,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,9,How,,false
prime_video,prime_video_watch_history_public,prime_video_000149,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,8,"Season Seven, Time for a Wedding!",,false
prime_video,prime_video_watch_history_public,prime_video_000150,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,7,The Mentalists,,false
prime_video,prime_video_watch_history_public,prime_video_000151,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,6,Slash Fiction,,false
prime_video,prime_video_watch_history_public,prime_video_000152,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,5,"Shut Up, Dr. Phil",,false
prime_video,prime_video_watch_history_public,prime_video_000153,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,4,Defending Your Life,,false
prime_video,prime_video_watch_history_public,prime_video_000154,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,3,The Girl Next Door,,false
prime_video,prime_video_watch_history_public,prime_video_000155,,source_000001,2026-03-01,2026-03-01,date,2026-03-01,episode,Supernatural,Supernatural,8,2,"Hello, Cruel World",,false
prime_video,prime_video_watch_history_public,prime_video_000156,,source_000001,2026-02-28,2026-02-28,date,2026-02-28,episode,Supernatural,Supernatural,7,1,Meet,,false
prime_video,prime_video_watch_history_public,prime_video_000157,,source_000001,2026-02-28,2026-02-28,date,2026-02-28,episode,Supernatural,Supernatural,7,22,The Man Who Knew Too Much,,false
prime_video,prime_video_watch_history_public,prime_video_000158,,source_000001,2026-02-28,2026-02-28,date,2026-02-28,episode,Supernatural,Supernatural,7,21,Let It Bleed,,false
prime_video,prime_video_watch_history_public,prime_video_000159,,source_000001,2026-02-28,2026-02-28,date,2026-02-28,episode,Supernatural,Supernatural,7,20,The Man Who Would Be King,,false
prime_video,prime_video_watch_history_public,prime_video_000160,,source_000001,2026-02-28,2026-02-28,date,2026-02-28,episode,Supernatural,Supernatural,7,19,Mommy Dearest,,false
prime_video,prime_video_watch_history_public,prime_video_000161,,source_000001,2026-02-28,2026-02-28,date,2026-02-28,episode,Supernatural,Supernatural,7,18,Frontierland,,false
